id,name,voice,rate,pitch,treatment,source,line
c084,Meruem,en-GB-RyanNeural,-10%,-8Hz,demon,rewritten,"Name yourself, or be beneath my notice."
c085,Sonic,en-US-GuyNeural,+18%,+12Hz,hero,rewritten,Blink and you'll miss the whole fight.
c086,Dominion Authority,en-US-MichelleNeural,-10%,-6Hz,ancient,rewritten,"By divine order, judgment descends upon you."
c087,Founding Titan,en-US-AndrewNeural,-16%,-18Hz,titan,master,These walls were never meant to protect you.
c088,Homelander,en-US-AndrewNeural,-6%,-4Hz,hero,rewritten,"America's smile, and the teeth behind it."
c089,Kratos,en-US-ChristopherNeural,-16%,-20Hz,titan,master,My gods bled. Yours will too.
c090,Shigaraki,en-US-GuyNeural,+5%,-6Hz,demon,rewritten,I'll turn everything you love to dust.
c091,Ten Commandments,en-US-RogerNeural,-8%,-12Hz,demon,rewritten,Ten of us. That is already too many.
c092,UFO,en-US-EmmaNeural,-6%,+8Hz,machine,rewritten,Unidentified. Unwelcome. Already inside your airspace.
c093,Yoriichi Type Zero,en-US-SteffanNeural,-10%,-10Hz,machine,rewritten,Six arms. No breath. No mercy.
c094,Grand Master Oogway,en-US-RogerNeural,-22%,-6Hz,ancient,rewritten,The tide arrives when the tide arrives.
c095,Kojiro Sasaki,en-US-AndrewMultilingualNeural,-8%,-8Hz,hero,rewritten,I lost ten thousand times. Watch me now.
c096,Dio Brando,en-GB-RyanNeural,-4%,-14Hz,demon,flavor,THE WORLD
c097,Elden Beast,en-US-BrianMultilingualNeural,-18%,-25Hz,void,rewritten,The order itself rises against you.
c098,Big Mom,en-US-MichelleNeural,-10%,-18Hz,titan,rewritten,"Life or sweets. Give me both, now."
c099,Fire Lord Ozai,en-US-ChristopherNeural,-8%,-12Hz,regal,rewritten,The world is mine to burn.
c100,Rennala Queen of the Full Moon,en-GB-SoniaNeural,-12%,-4Hz,ancient,rewritten,"Come, children. The full moon is watching."
c101,The 7? Heroic Spirits,en-US-AriaNeural,-5%,+4Hz,ancient,rewritten,Seven legends answer the summons. Choose carefully.
c102,Dragon,en-IE-ConnorNeural,-12%,-22Hz,beast,rewritten,"Your walls are kindling. Your knights, seasoning."
c103,Fort,en-IE-EmilyNeural,-8%,-10Hz,radio,rewritten,Nothing gets past these walls. Nothing.
c104,GLaDOS,en-US-JennyNeural,-6%,-6Hz,machine,flavor,The test continues.
c105,The Driller,en-US-AvaNeural,-5%,-14Hz,machine,rewritten,Latest design. Nothing under this earth survives.
c106,Transformers,en-US-AndrewNeural,-10%,-14Hz,machine,rewritten,Move out. Cybertron settles its debts today.
c107,Chrollo,en-GB-ThomasNeural,-12%,-6Hz,whisper,rewritten,The spider takes what it likes.
c108,Musashi,en-US-EricNeural,-10%,-10Hz,plain,flavor,Another duel to win.
c109,Nine Hashira,en-US-AndrewMultilingualNeural,+2%,+2Hz,hero,rewritten,Nine pillars stand. The demons fall tonight.
c110,Po,en-US-GuyNeural,+8%,+6Hz,hero,rewritten,I'm the Dragon Warrior. Still can't believe it.
c111,Doctor Octopus,en-US-RogerNeural,-8%,-8Hz,plain,master,"The power of the sun, in my hands."
c112,Gyoro Gyoro,en-US-MichelleNeural,-8%,-14Hz,demon,rewritten,The monster obeys me. So will you.
c113,Kite,en-US-BrianNeural,-6%,-6Hz,plain,flavor,Spin the wheel.
c114,Lord Voldemort,en-GB-ThomasNeural,-12%,-10Hz,demon,rewritten,"Seven pieces of me. Find one, please."
c115,One-Eyed Owl,en-GB-MaisieNeural,+6%,+8Hz,demon,rewritten,One eye sees everything you hide.
c116,The Mask,en-US-GuyNeural,+18%,+14Hz,manic,rewritten,"Time to get dangerously, cartoonishly green."
c117,Albion,en-US-ChristopherNeural,-20%,-28Hz,titan,rewritten,Look up. Keep looking up. Now run.
c118,Battleship,en-GB-RyanNeural,-6%,-10Hz,radio,master,Broadside ready. Nothing floats after this.
c119,Carnage Kabuto,en-AU-WilliamNeural,-6%,-18Hz,beast,rewritten,Three days of training. Now I evolve.
c120,Fantastic Four,en-US-AndrewNeural,+2%,+2Hz,hero,rewritten,Four of us. That has always been enough.
c121,Furious Five,en-US-EricNeural,-4%,+6Hz,plain,rewritten,Inner peace first. Then the outer beating.
c122,Wall of Flesh,en-US-BrianMultilingualNeural,-18%,-26Hz,titan,rewritten,I am the wall. Nothing passes me.
c123,Darkwing,en-US-ChristopherNeural,-10%,-12Hz,whisper,rewritten,Shadow to shadow. This ends with me.
c124,Knov,en-US-SteffanNeural,-6%,-4Hz,void,rewritten,Step through my door. You won't return.
c125,Aizawa,en-US-BrianNeural,-14%,-12Hz,plain,flavor,All it takes is one look.
c126,Gums,en-US-RogerNeural,-12%,-20Hz,beast,rewritten,Open wide. I swallow everything whole.
c127,Nyan,en-US-GuyNeural,+10%,+10Hz,beast,rewritten,"Nine lives, and you get none."
c128,The Five Convicts,en-US-AndrewMultilingualNeural,-8%,-12Hz,whisper,rewritten,"Five dead men, walking into your ring."
c129,Dabi,en-US-BrianMultilingualNeural,-2%,-4Hz,demon,rewritten,Blue flame. It burns me too.
c130,Godrick the Grafted,en-GB-ThomasNeural,-10%,-6Hz,regal,rewritten,"Lowly one, I shall graft you on."
c131,Illumi,en-US-SteffanNeural,-14%,-10Hz,whisper,rewritten,Hold still. The needle does the thinking.
c132,Kento Nanami,en-US-EricNeural,-6%,-8Hz,plain,rewritten,Seven to three. That is where you break.
c133,Kuma,en-US-SteffanNeural,-16%,-20Hz,machine,rewritten,"I am no longer a man, only a weapon."
c134,Tai Lung,en-US-RogerNeural,-5%,-12Hz,beast,master,Twenty years in chains. Now you pay.
c135,APR,en-GB-ThomasNeural,-4%,-6Hz,whisper,rewritten,Nothing you own escapes what you owe.
c136,Cthulhu,en-US-ChristopherNeural,-22%,-28Hz,void,rewritten,Your world was always only my dream.
c137,Giant Crystal,en-US-AriaNeural,-15%,+10Hz,ancient,rewritten,"From me they rise, again and again."
c138,Giant Tree,en-US-AndrewMultilingualNeural,-22%,-20Hz,ancient,rewritten,I stood here before your first word.
c139,Modern Tank,en-US-BrianNeural,+5%,-10Hz,radio,master,Engine hot. Rolling through your position.
c140,RoboCop,en-US-ChristopherNeural,-12%,-14Hz,machine,flavor,Uphold the law.
c141,Tech Hub,en-US-JennyNeural,-5%,+5Hz,machine,master,Every machine you fear was assembled here.
c142,Zoro,en-US-AndrewNeural,-8%,-14Hz,hero,flavor,Lost again. Still won.
c143,Survivors,en-US-GuyNeural,+8%,+4Hz,plain,master,We keep moving. That is how we survive.
c144,Cecil,en-US-EricNeural,-4%,-8Hz,radio,flavor,Nothing personal. Just cleanup.
c145,Kaku Kaioh,en-US-BrianMultilingualNeural,-14%,-16Hz,ancient,rewritten,One hundred sixty two years. Still standing.
c146,Kiritsugu Emiya,en-US-SteffanNeural,-10%,-10Hz,whisper,rewritten,No allies. No witnesses. Only the target.
c147,Kureo Mado,en-US-RogerNeural,+6%,+6Hz,manic,master,Do not squirm. This is delicate work.
c148,Kurogiri,en-US-AndrewMultilingualNeural,-10%,-14Hz,void,flavor,Every exit leads somewhere else.
c149,Lu Bu,en-US-ChristopherNeural,-6%,-12Hz,hero,flavor,"Match any man, then pass him."
c150,Meleoron,en-US-GuyNeural,+12%,+14Hz,whisper,rewritten,Blink once and I am already behind you.
c151,Mr. Oliva,en-US-AndrewNeural,-10%,-16Hz,regal,rewritten,No cell ever held me. None will.
c152,Stain,en-US-BrianMultilingualNeural,-8%,-18Hz,whisper,rewritten,One true hero. The rest are fakes.
c153,Black Ops,en-US-EricNeural,+4%,-6Hz,radio,rewritten,We were never here. Move.
c154,Gravelord Nito,en-US-ChristopherNeural,-22%,-30Hz,ancient,flavor,The first of the dead keeps the count.
c155,Margit the Fell Omen,en-GB-ThomasNeural,-12%,-14Hz,demon,rewritten,"Turn back, wretch. My staff bars this road."
c156,Ouken,en-US-AndrewMultilingualNeural,-18%,-20Hz,ancient,rewritten,I cannot die. I cannot remember why.
c157,Pillar Men,en-GB-RyanNeural,-14%,-16Hz,demon,rewritten,We slept through empires. The sun waited.
c158,The Nameless King,en-US-RogerNeural,-20%,-24Hz,titan,rewritten,I traded a crown for a dragon's war.
c159,Indiana Jones,en-US-AndrewNeural,+2%,-4Hz,plain,rewritten,That belongs to history. Hands off.
c160,Domovoy,en-IE-ConnorNeural,-6%,+8Hz,spectral,rewritten,I keep this house. Wipe your feet.
c161,Flowey,en-US-GuyNeural,+14%,+18Hz,manic,master,Howdy! It is kill or be killed.
c162,Kagaya Ubuyashiki,en-US-SteffanNeural,-18%,-6Hz,regal,rewritten,"My children, go. I will guide you home."
c163,Angstrom Levy,en-US-BrianNeural,-4%,-8Hz,void,rewritten,A thousand worlds taught me how to kill you.
c164,Dr. Heinz Doofenshmirtz,en-US-GuyNeural,+10%,+12Hz,manic,flavor,Your doom will be unnecessarily complicated.
c165,Mugen & Jin,en-US-BrianMultilingualNeural,+6%,-4Hz,hero,rewritten,We do not get along. We still win.
c166,Sir Nighteye,en-GB-RyanNeural,-6%,-6Hz,plain,master,I foresaw this. You do not survive.
c167,Vegapunk,en-US-RogerNeural,+8%,+4Hz,machine,rewritten,My mind outgrew my skull. Observe the results.
c168,Walter White,en-US-EricNeural,-12%,-10Hz,plain,flavor,Say. My. Name.
c169,An Order of Heavy Knights,en-GB-RyanNeural,-12%,-12Hz,regal,flavor,Honor. Duty.
c170,Davy Jones,en-GB-ThomasNeural,-14%,-18Hz,demon,rewritten,The sea keeps its debts. I collect them.
c171,Goblins,en-IE-ConnorNeural,+20%,+25Hz,beast,rewritten,"More of us! Get in, get loud!"
c172,Mr. Poopybutthole,en-US-GuyNeural,+10%,+16Hz,plain,rewritten,Hey! I have been standing here this whole time.
c173,Nezu,en-US-GuyNeural,+14%,+22Hz,beast,master,"Yes, a mouse. Also your principal."
c174,Shibukawa,en-US-SteffanNeural,-12%,-10Hz,plain,flavor,Strength is the easiest thing to redirect.
c175,V,en-GB-ThomasNeural,-6%,-8Hz,regal,rewritten,The stage is set. Shall we perform?
